Time,Datastream Name,Value
2022-03-22 03:40:00,Relative Humidity,36.0
2022-03-22 03:40:00,Fine Particles 2_5,15.0
2022-03-22 03:40:00,Fine Particles 10,26.0
2022-03-22 03:40:00,ABC Status,1.0
2022-03-22 03:38:00,CO2,477.0
2022-03-22 03:38:00,PRESSURE,1037.0
2022-03-22 03:38:00,Temperature,18.0
2022-03-22 03:38:00,Relative Humidity,36.0
2022-03-22 03:38:00,Fine Particles 2_5,17.0
2022-03-22 03:38:00,Fine Particles 10,29.0
2022-03-22 03:38:00,ABC Status,1.0
2022-03-22 03:36:00,CO2,479.0
2022-03-22 03:36:00,PRESSURE,1037.0
2022-03-22 03:36:00,Temperature,18.0
2022-03-22 03:36:00,Relative Humidity,36.0
2022-03-22 03:36:00,Fine Particles 2_5,15.0
2022-03-22 03:36:00,Fine Particles 10,26.0
2022-03-22 03:36:00,ABC Status,1.0
2022-03-22 03:34:00,CO2,472.0
2022-03-22 03:34:00,PRESSURE,1037.0
2022-03-22 03:34:00,Temperature,18.0
2022-03-22 03:34:00,Relative Humidity,36.0
2022-03-22 03:34:00,Fine Particles 2_5,15.0
2022-03-22 03:34:00,Fine Particles 10,26.0
2022-03-22 03:34:00,ABC Status,1.0
2022-03-22 03:32:00,CO2,475.0
2022-03-22 03:32:00,PRESSURE,1037.0
2022-03-22 03:32:00,Temperature,18.0
2022-03-22 03:32:00,Relative Humidity,36.0
2022-03-22 03:32:00,Fine Particles 2_5,14.0
2022-03-22 03:32:00,Fine Particles 10,24.0
2022-03-22 03:32:00,ABC Status,1.0
2022-03-22 03:30:00,CO2,477.0
2022-03-22 03:30:00,PRESSURE,1037.0
2022-03-22 03:30:00,Temperature,18.0
2022-03-22 03:30:00,Relative Humidity,36.0
2022-03-22 03:30:00,Fine Particles 2_5,15.0
2022-03-22 03:30:00,Fine Particles 10,26.0
2022-03-22 03:30:00,ABC Status,1.0
2022-03-22 03:28:00,CO2,475.0
2022-03-22 03:28:00,PRESSURE,1037.0
2022-03-22 03:28:00,Temperature,19.0
2022-03-22 03:28:00,Relative Humidity,36.0
2022-03-22 03:28:00,Fine Particles 2_5,15.0
2022-03-22 03:28:00,Fine Particles 10,26.0
2022-03-22 03:28:00,ABC Status,1.0
2022-03-22 03:26:00,CO2,474.0
2022-03-22 03:26:00,PRESSURE,1037.0
2022-03-22 03:26:00,Temperature,19.0
2022-03-22 03:26:00,Relative Humidity,36.0
2022-03-22 03:26:00,Fine Particles 2_5,14.0
2022-03-22 03:26:00,Fine Particles 10,24.0
2022-03-22 03:26:00,ABC Status,1.0
2022-03-22 03:24:00,CO2,473.0
2022-03-22 03:24:00,PRESSURE,1037.0
2022-03-22 03:24:00,Temperature,19.0
2022-03-22 03:24:00,Relative Humidity,36.0
2022-03-22 03:24:00,Fine Particles 2_5,14.0
2022-03-22 03:24:00,Fine Particles 10,24.0
2022-03-22 03:24:00,ABC Status,1.0
2022-03-22 03:22:00,CO2,472.0
2022-03-22 03:22:00,PRESSURE,1037.0
2022-03-22 03:22:00,Temperature,19.0
2022-03-22 03:22:00,Relative Humidity,36.0
2022-03-22 03:22:00,Fine Particles 2_5,14.0
2022-03-22 03:22:00,Fine Particles 10,24.0
2022-03-22 03:22:00,ABC Status,1.0
2022-03-22 03:20:00,CO2,471.0
2022-03-22 03:20:00,PRESSURE,1037.0
2022-03-22 03:20:00,Temperature,19.0
2022-03-22 03:20:00,Relative Humidity,36.0
2022-03-22 03:20:00,Fine Particles 2_5,15.0
2022-03-22 03:20:00,Fine Particles 10,26.0
2022-03-22 03:20:00,ABC Status,1.0
2022-03-22 03:18:00,CO2,474.0
2022-03-22 03:18:00,PRESSURE,1037.0
2022-03-22 03:18:00,Temperature,19.0
2022-03-22 03:18:00,Relative Humidity,36.0
2022-03-22 03:18:00,Fine Particles 2_5,15.0
